trial_nr	onset	event_type	phase	response	nr_frames	condition	onset_abs	duration
0	0.007115985994460061	stim	0		134.0		2.607186808992992	1.5338879289993201
0	1.5187370989951887	pulse	0	t			4.118807921993721	
0	1.5410039149937802	stim	1		0.0		4.141074737992312	0.0015419010014738888
1	1.542545815995254	iti	0		261.0	right	4.142616638993786	3.0069336160013336
1	4.549479431996588	stim	1		266.0	right	7.14955025499512	2.9940661400032695
2	7.543545571999857	iti	0		261.0	both	10.14361639499839	3.0007500819992856
2	10.544295653999143	stim	1		264.0	both	13.144366476997675	3.0012535819987534
3	13.545549235997896	iti	0		261.0	right	16.14562005899643	2.9994627670021146
3	16.54501200300001	stim	1		263.0	right	19.145082825998543	2.9921104489985737
4	19.537122451998584	iti	0		266.0	both	22.137193274997117	3.0021693779999623
4	22.539291829998547	stim	1		266.0	both	25.13936265299708	2.999883568001678
6	25.539175398000225	stim	0		263.0		28.139246220998757	3.0100547349939006
