trial_nr	onset	event_type	phase	response	nr_frames	condition	onset_abs	duration
0	0.010663790999387857	stim	0		120.0		2.6915292470002896	1.3857974150014343
0	1.3866105859997333	pulse	0	t			4.067476042000635	
0	1.3964612060008221	stim	1		0.0		4.077326662001724	0.0031528570034424774
1	1.3996140630042646	iti	0		259.0	right	4.080479519005166	3.0117502879948006
1	4.411364350999065	stim	1		263.0	right	7.092229806999967	2.992624077000073
2	7.403988427999138	iti	0		265.0	left	10.08485388400004	3.0094943700023578
2	10.413482798001496	stim	1		264.0	left	13.094348254002398	3.00084782900376
3	13.414330627005256	iti	0		262.0	right	16.095196083006158	2.9862386059976416
3	16.400569233002898	stim	1		264.0	right	19.0814346890038	3.0074072939969483
4	19.407976526999846	iti	0		263.0	left	22.088841983000748	3.002095542004099
4	22.410072069003945	stim	1		263.0	left	25.090937525004847	2.9939703479976743
6	25.40404241700162	stim	0		262.0		28.08490787300252	3.0001720799991745
